id_anon;fuente;institucion;municipio;departamento;sector;latitud;longitud;grupo;sesion;grado;correctas;total_preguntas;puntaje_global;lectura_critica;matematicas;sociales;ciencias_naturales;ingles
ANA GOMEZ-41;Rionegro;ANA GOMEZ;Rionegro;Antioquia;Oficial;6.187;-75.380;G1;S1;;;;207.4;46.3;34;40;44.8;43.6
ANA GOMEZ-40;Rionegro;ANA GOMEZ;Rionegro;Antioquia;Oficial;6.187;-75.380;G1;S1;;;;234.3;51.2;32;56;51.7;36.4
ANA GOMEZ-39;Rionegro;ANA GOMEZ;Rionegro;Antioquia;Oficial;6.187;-75.380;G1;S1;;;;226.3;48.8;36;52;44.8;43.6
ANA GOMEZ-38;Rionegro;ANA GOMEZ;Rionegro;Antioquia;Oficial;6.187;-75.380;G1;S1;;;;293.4;58.5;44;74;51.7;78.2
ANA GOMEZ-37;Rionegro;ANA GOMEZ;Rionegro;Antioquia;Oficial;6.187;-75.380;G1;S1;;;;186.3;48.8;32;30;25.9;74.5
ANA GOMEZ-34;Rionegro;ANA GOMEZ;Rionegro;Antioquia;Oficial;6.187;-75.380;G1;S1;;;;145.6;31.7;32;22;24.1;49.1
ANA GOMEZ-33;Rionegro;ANA GOMEZ;Rionegro;Antioquia;Oficial;6.187;-75.380;G1;S1;;;;190.4;58.5;36;32;27.6;32.7
ANA GOMEZ-32;Rionegro;ANA GOMEZ;Rionegro;Antioquia;Oficial;6.187;-75.380;G1;S1;;;;217.9;65.9;24;50;34.5;43.6
ANA GOMEZ-31;Rionegro;ANA GOMEZ;Rionegro;Antioquia;Oficial;6.187;-75.380;G1;S1;;;;256.1;56.1;42;58;48.3;52.7
ANA GOMEZ-30;Rionegro;ANA GOMEZ;Rionegro;Antioquia;Oficial;6.187;-75.380;G1;S1;;;;312.6;70.7;44;80;48.3;83.6
ANA GOMEZ-29;Rionegro;ANA GOMEZ;Rionegro;Antioquia;Oficial;6.187;-75.380;G1;S1;;;;214.4;48.8;38;60;29.3;29.1
ANA GOMEZ-28;Rionegro;ANA GOMEZ;Rionegro;Antioquia;Oficial;6.187;-75.380;G1;S1;;;;173.8;46.3;30;26;36.2;36.4
ANA GOMEZ-27;Rionegro;ANA GOMEZ;Rionegro;Antioquia;Oficial;6.187;-75.380;G1;S1;;;;146.8;29.3;26;34;25.9;36.4
ANA GOMEZ-26;Rionegro;ANA GOMEZ;Rionegro;Antioquia;Oficial;6.187;-75.380;G1;S1;;;;212.2;34.1;30;56;53.4;30.9
ANA GOMEZ-25;Rionegro;ANA GOMEZ;Rionegro;Antioquia;Oficial;6.187;-75.380;G1;S1;;;;348.5;90.2;50;84;62.1;47.3
ANA GOMEZ-24;Rionegro;ANA GOMEZ;Rionegro;Antioquia;Oficial;6.187;-75.380;G1;S1;;;;294.8;56.1;54;60;67.2;54.5
ANA GOMEZ-23;Rionegro;ANA GOMEZ;Rionegro;Antioquia;Oficial;6.187;-75.380;G1;S1;;;;177.9;34.1;36;34;37.9;36.4
ANA GOMEZ-20;Rionegro;ANA GOMEZ;Rionegro;Antioquia;Oficial;6.187;-75.380;G2;S1;;;;228.4;65.9;40;50;27.6;43.6
ANA GOMEZ-19;Rionegro;ANA GOMEZ;Rionegro;Antioquia;Oficial;6.187;-75.380;G2;S1;;;;205.4;51.2;32;40;39.7;45.5
ANA GOMEZ-18;Rionegro;ANA GOMEZ;Rionegro;Antioquia;Oficial;6.187;-75.380;G2;S1;;;;236.6;73.2;22;60;29.3;61.8
ANA GOMEZ-17;Rionegro;ANA GOMEZ;Rionegro;Antioquia;Oficial;6.187;-75.380;G2;S1;;;;255.1;63.4;30;70;43.1;43.6
ANA GOMEZ-16;Rionegro;ANA GOMEZ;Rionegro;Antioquia;Oficial;6.187;-75.380;G2;S1;;;;228.8;58.5;24;58;41.4;49.1
ANA GOMEZ-14;Rionegro;ANA GOMEZ;Rionegro;Antioquia;Oficial;6.187;-75.380;G2;S1;;;;201.2;61;32;30;36.2;45.5
ANA GOMEZ-13;Rionegro;ANA GOMEZ;Rionegro;Antioquia;Oficial;6.187;-75.380;G2;S1;;;;268.5;82.9;34;70;27.6;54.5
ANA GOMEZ-12;Rionegro;ANA GOMEZ;Rionegro;Antioquia;Oficial;6.187;-75.380;G2;S1;;;;163.4;31.7;30;28;37.9;41.8
ANA GOMEZ-11;Rionegro;ANA GOMEZ;Rionegro;Antioquia;Oficial;6.187;-75.380;G2;S1;;;;313.4;61;52;80;58.6;60
ANA GOMEZ-10;Rionegro;ANA GOMEZ;Rionegro;Antioquia;Oficial;6.187;-75.380;G2;S1;;;;279.7;58.5;32;78;56.9;50.9
ANA GOMEZ-9;Rionegro;ANA GOMEZ;Rionegro;Antioquia;Oficial;6.187;-75.380;G2;S1;;;;279.7;56.1;50;66;55.2;45.5
ANA GOMEZ-8;Rionegro;ANA GOMEZ;Rionegro;Antioquia;Oficial;6.187;-75.380;G2;S1;;;;201.1;31.7;38;44;44.8;47.3
ANA GOMEZ-7;Rionegro;ANA GOMEZ;Rionegro;Antioquia;Oficial;6.187;-75.380;G2;S1;;;;316.9;75.6;52;84;32.8;90.9
ANA GOMEZ-6;Rionegro;ANA GOMEZ;Rionegro;Antioquia;Oficial;6.187;-75.380;G2;S1;;;;233.5;46.3;22;70;48.3;47.3
ANA GOMEZ-5;Rionegro;ANA GOMEZ;Rionegro;Antioquia;Oficial;6.187;-75.380;G2;S1;;;;188.8;43.9;36;40;31;38.2
ANA GOMEZ-4;Rionegro;ANA GOMEZ;Rionegro;Antioquia;Oficial;6.187;-75.380;G2;S1;;;;206.7;56.1;42;42;29.3;29.1
ANA GOMEZ-3;Rionegro;ANA GOMEZ;Rionegro;Antioquia;Oficial;6.187;-75.380;G2;S1;;;;262.2;70.7;22;64;51.7;56.4
JOSE MARIA CORDOBA-39;Rionegro;JOSE MARIA CORDOBA;Rionegro;Antioquia;Oficial;6.246;-75.561;G2;S1;;;;212.2;61;32;44;39.7;21.8
ANTONIO DONADO-28;Rionegro;ANTONIO DONADO;Rionegro;Antioquia;Oficial;6.143;-75.449;G1;S1;;;;143.1;31.7;26;22;32.8;34.5
