institucion,fuente,municipio,departamento,sector,latitud,longitud,precision_ubicacion,n_estudiantes,promedio_global
Grupos UdeA,UdeA,Medellín,Antioquia,Público (preuniversitario UdeA),6.2675,-75.5686,colegio,166,290.8
I.E. Rural El Tablazo,Tablazo,Rionegro,Antioquia,Oficial,6.1440246,-75.4484784,aproximada,22,222.5
ALEJANDRO VÉLEZ BARRIENTOS,Envigado,Envigado,Antioquia,Oficial,6.1700512,-75.5922482,colegio,69,210.2
COMERCIAL,Envigado,Envigado,Antioquia,Oficial,6.1534647,-75.5847027,colegio,72,184.9
DARÍO DE BEDOUT,Envigado,Envigado,Antioquia,Oficial,6.1679396,-75.578613,colegio,13,228.7
JOSÉ MANUEL RESTREPO,Envigado,Envigado,Antioquia,Oficial,6.1715726,-75.5908994,colegio,91,210.1
JOSÉ MIGUEL DE LA CALLE,Envigado,Envigado,Antioquia,Oficial,6.1726759,-75.5812295,colegio,49,197.7
LA PAZ,Envigado,Envigado,Antioquia,Oficial,6.1619843,-75.593804,colegio,139,227.0
LAS PALMAS,Envigado,Envigado,Antioquia,Oficial,6.1512749,-75.5360508,colegio,40,195.8
LETICIA ARANGO,Envigado,Envigado,Antioquia,Oficial,6.163249,-75.5941636,colegio,97,210.1
MANUEL URIBE ÁNGEL,Envigado,Envigado,Antioquia,Oficial,6.1702637,-75.5895184,colegio,98,207.2
MARTÍN EDUARDO,Envigado,Envigado,Antioquia,Oficial,6.1869358,-75.4899922,colegio,17,253.3
MARÍA POUSSEPIN,Envigado,Envigado,Antioquia,Oficial,6.1709289,-75.5771223,colegio,21,234.3
NORMAL SUPERIOR,Envigado,Envigado,Antioquia,Oficial,6.1670338,-75.5818357,colegio,147,212.2
SALADO,Envigado,Envigado,Antioquia,Oficial,6.1534946,-75.5782343,colegio,53,184.8
SAN VICENTE,Envigado,Envigado,Antioquia,Oficial,6.1667839,-75.5788449,colegio,32,214.8
