institucion,fuente,municipio,departamento,sector,latitud,longitud,precision_ubicacion,n_estudiantes,promedio_global,institucion_fuente,n_analisis,promedio_analisis
Grupos UdeA,UdeA,Medellín,Antioquia,Público (preuniversitario UdeA),6.2675,-75.5686,colegio,166,290.8,Grupos UdeA,165,292.58
I.E. Rural el Tablazo,Tablazo,Rionegro,Antioquia,Oficial,6.1440246,-75.4484784,aproximada,22,222.5,I.E. Rural El Tablazo,22,222.5
Alejandro Vélez Barrientos,Envigado,Envigado,Antioquia,Oficial,6.1700512,-75.5922482,colegio,69,210.2,ALEJANDRO VÉLEZ BARRIENTOS,69,210.22
Comercial,Envigado,Envigado,Antioquia,Oficial,6.1534647,-75.5847027,colegio,72,184.9,COMERCIAL,72,184.86
Darío de Bedout,Envigado,Envigado,Antioquia,Oficial,6.1679396,-75.578613,colegio,13,228.7,DARÍO DE BEDOUT,13,228.69
José Manuel Restrepo,Envigado,Envigado,Antioquia,Oficial,6.1715726,-75.5908994,colegio,91,210.1,JOSÉ MANUEL RESTREPO,91,210.1
José Miguel de la Calle,Envigado,Envigado,Antioquia,Oficial,6.1726759,-75.5812295,colegio,49,197.7,JOSÉ MIGUEL DE LA CALLE,49,197.67
La Paz,Envigado,Envigado,Antioquia,Oficial,6.1619843,-75.593804,colegio,139,227.0,LA PAZ,139,227.03
Las Palmas,Envigado,Envigado,Antioquia,Oficial,6.1512749,-75.5360508,colegio,40,195.8,LAS PALMAS,40,195.75
Leticia Arango,Envigado,Envigado,Antioquia,Oficial,6.163249,-75.5941636,colegio,97,210.1,LETICIA ARANGO,97,210.12
Manuel Uribe Ángel,Envigado,Envigado,Antioquia,Oficial,6.1702637,-75.5895184,colegio,98,207.2,MANUEL URIBE ÁNGEL,98,207.18
Martín Eduardo,Envigado,Envigado,Antioquia,Oficial,6.1869358,-75.4899922,colegio,17,253.3,MARTÍN EDUARDO,17,253.29
María Poussepin,Envigado,Envigado,Antioquia,Oficial,6.1709289,-75.5771223,colegio,21,234.3,MARÍA POUSSEPIN,21,234.33
Normal Superior,Envigado,Envigado,Antioquia,Oficial,6.1670338,-75.5818357,colegio,147,212.2,NORMAL SUPERIOR,147,212.19
Salado,Envigado,Envigado,Antioquia,Oficial,6.1534946,-75.5782343,colegio,53,184.8,SALADO,53,184.75
San Vicente,Envigado,Envigado,Antioquia,Oficial,6.1667839,-75.5788449,colegio,32,214.8,SAN VICENTE,32,214.75
Ana Gomez,Rionegro,Rionegro,Antioquia,Oficial,6.187030551,-75.3796659,aproximada,75,239.9413333,ANA GOMEZ,34,232.59
Jose Maria Cordoba,Rionegro,Rionegro,Antioquia,Oficial,6.245744042,-75.56097862,aproximada,77,224.2233766,JOSE MARIA CORDOBA,38,220.52
Antonio Donado,Rionegro,Rionegro,Antioquia,Oficial,6.143417459,-75.44879367,aproximada,56,186.05,ANTONIO DONADO,28,180.35
Barro Blanco,Rionegro,Rionegro,Antioquia,Oficial,6.152638855,-75.4071849,aproximada,83,211.7457831,BARRO BLANCO,41,207.36
Domingo Savio,Rionegro,Rionegro,Antioquia,Oficial,6.118188913,-75.44561732,aproximada,45,202.72,DOMINGO SAVIO,22,144.8
Gilberto Echeverry,Rionegro,Rionegro,Antioquia,Oficial,6.107765245,-75.42161362,aproximada,110,235.9818182,GILBERTO ECHEVERRY,55,220.67
Guillermo Gaviria,Rionegro,Rionegro,Antioquia,Oficial,6.172910928,-75.45485282,aproximada,26,233.3076923,GUILLERMO GAVIRIA,13,220.35
La Mosquita,Rionegro,Rionegro,Antioquia,Oficial,6.206883923,-75.4396712,aproximada,43,203.927907,LA MOSQUITA,21,196.93
San Jose de las Cuchillas,Rionegro,Rionegro,Antioquia,Oficial,6.179499627,-75.39381621,aproximada,108,202.0342593,SAN JOSE DE LAS CUCHILLAS,52,183.84
