institucion;fuente;municipio;departamento;sector;latitud;longitud;precision_ubicacion;n_estudiantes;promedio_global
ANA GOMEZ;Rionegro;Rionegro;Antioquia;Oficial;6.187030551;-75.3796659;aproximada;75;239.9413333
JOSE MARIA CORDOBA;Rionegro;Rionegro;Antioquia;Oficial;6.245744042;-75.56097862;aproximada;77;224.2233766
ANTONIO DONADO;Rionegro;Rionegro;Antioquia;Oficial;6.143417459;-75.44879367;aproximada;56;186.05
BARRO BLANCO;Rionegro;Rionegro;Antioquia;Oficial;6.152638855;-75.4071849;aproximada;83;211.7457831
DOMINGO SAVIO;Rionegro;Rionegro;Antioquia;Oficial;6.118188913;-75.44561732;aproximada;45;202.72
GILBERTO ECHEVERRY;Rionegro;Rionegro;Antioquia;Oficial;6.107765245;-75.42161362;aproximada;110;235.9818182
GUILLERMO GAVIRIA;Rionegro;Rionegro;Antioquia;Oficial;6.172910928;-75.45485282;aproximada;26;233.3076923
LA MOSQUITA;Rionegro;Rionegro;Antioquia;Oficial;6.206883923;-75.4396712;aproximada;43;203.927907
SAN JOSE DE LAS CUCHILLAS;Rionegro;Rionegro;Antioquia;Oficial;6.179499627;-75.39381621;aproximada;108;202.0342593
SANTA BARBARA;Rionegro;Rionegro;Antioquia;Oficial;6.19834627;-75.36776506;aproximada;68;195.0544118
TECNICO INDUSTRIAL;Rionegro;Rionegro;Antioquia;Oficial;6.145106328;-75.37401384;aproximada;198;279.1570707
BALTAZAR SALAZAR;Rionegro;Rionegro;Antioquia;Oficial;6.078672536;-75.42374834;aproximada;34;251.0088235
