institucion;fuente;municipio;departamento;sector;latitud;longitud;precision_ubicacion;n_estudiantes;promedio_global
C. E. R. LAS FLORES;Semestre cero;Nechi;Antioquia;Oficial;8,0944;-74,7761;aproximada;35;138,0857143
I. E. ANORI;Semestre cero;Anori;Antioquia;Oficial;7,0736;-75,1481;aproximada;28;180,2142857
I. E. ANTONIO NARIÑO;Semestre cero;Puerto Berrio;Antioquia;Oficial;6,4914;-74,4058;aproximada;34;134,5
I. E. ANTONIO ROLDAN BETANCUR;Semestre cero;Briceño;Antioquia;Oficial;7,1108;-75,5511;aproximada;33;166,6060606
I. E. ANZA;Semestre cero;Anza;Antioquia;Oficial;6,3458;-75,8569;aproximada;31;155,8709677
I. E. CAMILO TORRES;Semestre cero;San Pedro De Uraba;Antioquia;Oficial;8,275;-76,369;aproximada;46;187,326087
I. E. EDUARDO AGUILAR;Semestre cero;Yolombo;Antioquia;Oficial;6,5986;-75,0119;aproximada;35;171,1714286
I. E. EFE GOMEZ;Semestre cero;Vegachi;Antioquia;Oficial;6,7725;-74,7981;aproximada;34;199,0588235
I. E. EL SALVADOR;Semestre cero;Pueblorrico;Antioquia;Oficial;5,7917;-75,8394;aproximada;32;178,84375
I. E. ESCUELA NORMAL SUPERIOR MARIANO OSPINA RODRIGUEZ;Semestre cero;Fredonia;Antioquia;Oficial;5,9264;-75,6742;aproximada;46;174,173913
I. E. FILIBERTO RESTREPO SIERRA;Semestre cero;Maceo;Antioquia;Oficial;6,5542;-74,7861;aproximada;38;232
I. E. FRANCISCO ABEL GALLEGO;Semestre cero;San Jose De La Montaña;Antioquia;Oficial;6,8483;-75,6817;aproximada;36;172,8055556
I. E. GABRIEL CORREA VELEZ;Semestre cero;Caracoli;Antioquia;Oficial;6,4864;-74,76;aproximada;26;221,9230769
I. E. GUARUMO;Semestre cero;Caceres;Antioquia;Oficial;7,5758;-75,3486;aproximada;57;161,5438596
I. E. JESUS MARIA ROJAS PAGOLA;Semestre cero;Santa Barbara;Antioquia;Oficial;5,879;-75,5833;aproximada;51;164,3137255
I. E. JOSE MANUEL RESTREPO;Semestre cero;Arboletes;Antioquia;Oficial;8,8508;-76,4267;aproximada;54;166,2222222
I. E. JOSE MARIA MUÑOZ FLOREZ;Semestre cero;Carepa;Antioquia;Oficial;7,7578;-76,6547;aproximada;44;199,0909091
I. E. JOSE MARIA VILLA;Semestre cero;Sopetran;Antioquia;Oficial;6,5008;-75,7428;aproximada;36;187,2222222
I. E. JUAN DE DIOS URIBE;Semestre cero;Andes;Antioquia;Oficial;5,605;-75,9413;aproximada;21;162,4285714
I. E. JUAN EVANGELISTA BERRIO;Semestre cero;Chigorodo;Antioquia;Oficial;7,6672;-76,6811;aproximada;30;165
I. E. JUAN PABLO GOMEZ OCHOA;Semestre cero;Caramanta;Antioquia;Oficial;5,5469;-75,6425;aproximada;26;172,7692308
I. E. LA ESMERALDA;Semestre cero;El Bagre;Antioquia;Oficial;7,6017;-74,8083;aproximada;40;150,9
I. E. LA PINTADA;Semestre cero;La Pintada;Antioquia;Oficial;5,7461;-75,6069;aproximada;36;173,5277778
I. E. LAS DELICIAS;Semestre cero;El Bagre;Antioquia;Oficial;7,6017;-74,8083;aproximada;34;153,5588235
I. E. LAS MERCEDES;Semestre cero;Frontino;Antioquia;Oficial;6,7806;-76,1308;aproximada;20;172
I. E. LEON XIII;Semestre cero;El Peñol;Antioquia;Oficial;6,2186;-75,2417;aproximada;32;179,78125
I. E. LIBORIO BATALLER;Semestre cero;Segovia;Antioquia;Oficial;7,0786;-74,6983;aproximada;23;181,5652174
I. E. LLANO DE CORDOBA;Semestre cero;Remedios;Antioquia;Oficial;7,0269;-74,6975;aproximada;27;189,962963
I. E. LLANOS DE CUIVA;Semestre cero;Yarumal;Antioquia;Oficial;6,9633;-75,4169;aproximada;30;186,6
I. E. LORENZO YALI;Semestre cero;Yali;Antioquia;Oficial;6,6769;-74,8436;aproximada;20;198,85
I. E. LUIS EDUARDO DIAZ;Semestre cero;Yondo;Antioquia;Oficial;7,005;-74,0083;aproximada;70;179,5142857
I. E. LUIS FERNANDO RESTREPO RESTREPO;Semestre cero;Zaragoza;Antioquia;Oficial;7,4914;-74,8692;aproximada;30;171
I. E. MARIA AUXILIADORA;Semestre cero;Chigorodo;Antioquia;Oficial;7,6672;-76,6811;aproximada;31;150,6129032
