periodo,establecimiento,naturaleza,n,global,lectura_critica,matematicas,ciencias_naturales,sociales,ingles
20224,COLOMBO BRITANICO,NO OFICIAL,232,347.1,68.3,71.8,66.5,66.6,82.5
20224,COLEGIO BENEDICTINO DE SANTA MARIA,NO OFICIAL,120,337.2,67.7,69.1,63.9,65.4,78.5
20224,COL FONTAN,NO OFICIAL,34,331.8,66.6,68.0,64.8,62.9,75.8
20224,INSTITUCION EDUCATIVA  MARTIN EDUARDO RIOS LLANOS,OFICIAL,16,315.9,64.4,65.9,61.4,61.9,60.6
20224,COLEGIO DE LA PRESENTACION - ENVIGADO,NO OFICIAL,86,310.8,64.9,61.6,58.7,60.3,72.0
20224,GIMNASIO INTEGRAL SANTA ANA,NO OFICIAL,118,310.7,63.7,63.5,60.6,59.1,67.5
20224,COLEGIO TERESIANO,NO OFICIAL,104,309.3,64.3,60.8,57.9,60.6,73.4
20224,UNIDAD EDUCATIVA SAN MARCOS,NO OFICIAL,260,306.2,62.5,63.3,59.4,57.5,68.0
20224,COLEGIO LA SALLE ENVIGADO,NO OFICIAL,226,302.3,62.0,61.7,58.5,56.9,68.8
20224,COLEGIO ALCARAVANES,NO OFICIAL,44,290.8,61.6,53.2,55.5,58.6,68.9
20224,COLEGIO FRANCISCANO PALERMO DE SAN JOSE,NO OFICIAL,66,289.2,59.9,57.4,54.2,55.7,70.2
20224,GIMNASIO CAMPESTRE EL TESORO,NO OFICIAL,18,285.8,60.3,54.9,55.1,54.3,69.0
20224,INSTITUCION EDUCATIVA LA PAZ,OFICIAL,328,284.9,58.5,58.2,55.6,54.8,59.3
20224,LICEO FRANCISCO RESTREPO MOLINA,NO OFICIAL,180,284.5,60.7,56.4,53.3,55.1,63.4
20224,COLEGIO HONTANARES,NO OFICIAL,50,283.4,59.5,56.3,52.6,52.6,73.6
20224,I.E. NORMAL SUPERIOR DE ENVIGADO,OFICIAL,352,282.9,59.4,56.3,54.4,54.8,61.1
20224,INSTITUCION EDUCATIVA LETICIA ARANGO DE AVENDAÑO,OFICIAL,126,281.6,59.3,55.6,54.1,55.1,60.2
20224,INSTITUCION EDUCATIVA ALEJANDRO VELEZ BARRIENTOS,OFICIAL,180,279.6,59.3,56.1,53.5,53.5,59.9
20224,INSTITUCION EDUCATIVA SAN VICENTE DE PAUL,OFICIAL,58,276.5,58.8,55.3,54.0,52.0,58.7
20224,INSTITUCION EDUCATIVA AVANZAR,NO OFICIAL,20,274.9,57.1,55.2,52.7,50.0,69.7
20224,I.E. JOSE MANUEL RESTREPO VELEZ,OFICIAL,276,272.7,58.0,54.4,51.6,52.7,59.3
20224,INSTITUCION EDUCATIVA JOSE MIGUEL DE LA CALLE,OFICIAL,66,270.3,57.3,52.8,52.9,52.2,56.6
20224,COLEGIO MANUEL MEJIA VALLEJO,NO OFICIAL,40,269.7,56.2,53.8,51.7,50.1,65.6
20224,INSTITUCION EDUCATIVA DARIO DE BEDOUT,OFICIAL,76,267.6,57.2,48.9,53.2,53.5,57.1
20224,INSTITUCION EDUCATIVA COMERCIAL DE ENVIGADO,OFICIAL,232,264.4,56.0,52.9,50.9,51.1,54.8
20224,INSTITUCION EDUCATIVA MARIA POUSSEPIN,OFICIAL,80,260.3,54.9,50.4,51.6,50.0,55.8
20224,CENTRO EDUCATIVO INSTITUTO DE CIENCIAS APLICADAS INDECAP,NO OFICIAL,2,253.0,54.0,50.0,48.0,50.0,52.0
20224,INSTITUCION EDUCATIVA MANUEL URIBE ANGEL,OFICIAL,358,250.9,53.7,49.0,48.6,48.5,52.9
20224,INSTITUCION EDUCATIVA LAS PALMAS,OFICIAL,100,246.7,52.6,49.3,47.5,46.9,52.2
20224,COLEGIO DE CAPACITACIÓN DE ENVIGADO,NO OFICIAL,92,240.9,52.8,47.1,46.7,45.5,49.9
20224,COLEGIO INTEGRADO LAURELES,NO OFICIAL,30,237.2,50.6,47.5,45.1,45.4,51.1
20224,POLITECNICO INTEGRAL COLOMBIANO,NO OFICIAL,96,232.1,48.9,45.1,45.5,43.7,53.9
20224,INSTITUCI¿N EDUCATIVA EL SALADO,OFICIAL,152,231.5,49.5,46.3,45.2,43.8,47.5
